Tweets,,Niranjana,
My 18yo son just asked me how my day was. I wonder what he wants.,,,
My toddler puts his pants on just like everyone else. One arm at a time.,,,
"I'll never understand women. A species that loathes you for asking their age, but tortures you forever if you forget their birthday.",,,
The first person to see a sunset was probably like well this ain't good.,,,
"Do people who say ""You gotta fight fire with fire"" not understand how fire works?",,,
DATING TIP: Take your date to Starbucks when you forget their name.,,,
Got a case for my iPhone even though the screen is already cracked. So basically it's like putting a condom on my kid's head.,,,
"You want to hear me laugh, ask for money.",,,
Wife: It's like every man on earth has to share one brain Me: [can't think of a good comeback because it's not my turn to use the brain],,,
If you guys need me I'll be strutting confidently through a parking lot toward a car that turns out not to be mine.,,,
"Memories are like girlfriends, they hit you when you're least expecting it.",,,
Scientists are attempting to clone Ice Age Cave Lions because running into a raccoon when I take out the trash isn't scary enough.,,,
"My wife and I have been keeping an eye on our spending. From what we can see, we’re very, very good at it.",,,
"It's true that when one door closes, another opens... Sometimes it's in the floor.",,,
"My annual performance review says I lack ""passion & intensity",,,
"Grizzlies are emerging from hibernation, so hiking in groups of 3 or more is recommended. Also not being the slowest one of the group.",,,
I'm not a doctor but I know adding cheese to anything makes it an antidepressant.,,,
I'm not old school. I'm just old.,,,
"Parallel park, like nobody's laughing.",,,
*makes sandwich* *sits down to eat it* *sees dog staring at me* *rips off small piece* *gives her the rest*,,,
"""Hi, I want something."" -People",,,
Misery: I love you Company: I know,,,
He's street smart. Sesame Street smart.,,,
"Its awkward touching hands with another man in a popcorn bag, especially if you dont know the man & he doesnt know youre eating his popcorn",,,
Nobody really owns tupperware. We are all just really borrowing it from one another.,,,
"It's okay, Web MD. I don't really know what's wrong with me either.",,,
"If they replaced the company breathalyzer with a brainalyzer, I'd be the person working alone and everyone else sitting in HR",,,
"If I was the editor of Vogue, I'd just put an actual skeleton on the cover with the headline, ""Feel bad yet? You should, Fatty."";;;;""491636955260928000",,,
I'm changing the wifi password until everyone puts their laundry away.,,,
"If they make it a point to tell you it's not a big deal, its a big deal.",,,
New College Admissions Test ______ not getting into this college A. Your B. Ur C. You're D. U're,,,
INTERVIEWER: Why did you leave your previous job? ME: Because once they fire you they won't let you stay.,,,
Having a tea party is fun until your daughter tells you that she got the water from the toilet,,,
"He died doing what he loved, surprising tigers.",,,
"Let me give you a little advice, don't take any advice from me.",,,
Wife: What are you thinking about? Me: *pauses daydream about zombie ninjas fighting cyborg Nazis from the future* You.,,,
There is no simple household repair that I can't turn into a visit to the ER.,,,
The first rule of Fight Club is to get caught looking at another woman.,,,
You really can't judge a person based on a single restraining order,,,
"Judge a coworker not by the color of his skin but by the content, volume, and length of his ring tone.",,,
I'm allergic to bears. One bear bite & it's straight to the ER for me.,,,
Someone at work just smiled at me. We don't do that here.,,,
Don't waste my time. That's my job.,,,
"Biggest oxymoron ever: Customer service. Biggest lie ever: This call ""may"" be recorded for ""training"" purposes.",,,
Please continue to hold. All of our customer service representatives are busy frustrating other customers.,,,
The plot thickens. It hasn't been to the gym in a while.,,,
"On the next Celebrity Apprentice, Donald Trump picks his White House Cabinet.",,,
"Refusing to go to the gym counts as resistance training, right?",,,
Marriage is the only contract you enter into where the negotiations start after the signing. Big mistake.,,,
B R E A K I N G N E W S Server 404 has been found!,,,
God grant me the serenity to accept the terms and conditions I will not read.,,,
I've never been as disappointed as my dog just was when she realized the food I dropped was a carrot.,,,
I've found that the key to avoiding a midlife crisis is to spend your entire life in crisis.,,,
A few weeks ago my dad decided he was going to order pizza from his iPad. He's almost finished.,,,
"If I was a day trader, I'd start by getting rid of all my Mondays.",,,
"Superman could have become a doctor, using his x-ray vision to detect life threatening tumors. But no, we really needed another journalist.",,,
"Sorry, but Apple making driverless cars isn't breaking news. It's been going on ever since they introduced the iPhone.",,,
Pretty sure my 9 month old is doing 5-Hour Energy shots behind my back.,,,
"Invention idea: When you delete someone's contact information, they disappear",,,
Always look both ways before crossing a woman.,,,
Objects in mirror feel older than they appear.,,,
Shut up and send her the heart eyes emoji like a God damn man.,,,
Urban Dictionary: Helping white folks figure out if they're getting insulted or complimented daily.,,,
I've finally reached the age where Happy Hour is a nap.,,,
"Dude on tv just said, ""Where there's fat, there's flavor."" He was talking about food, but I took it as a compliment.",,,
Be the Google search results you want your future employer to find.,,,
"Kids eat free today? Nice... In that case, I'll have a water and my son will have the steak and shrimp combo with a kids bud light.",,,
"Contrary to what my voicemail will lead you to believe, I am in fact not sorry for missing your call",,,
"Finish your plate, there are people starving at Victoria's Secret.",,,
To put 1.5 billion dollars into perspective. It's $5 for every person in the US or almost enough to send 2 kids to college.,,,
"Behind every man is a woman, shaking her head.",,,
"I do really good on my diet for like 8 or 9 hours, and then I wake up.",,,
You know you're getting old when the kids start referring to your savings as their inheritance.,,,
"If I ever have an out-of-body experience, I’m going to do my best to go back into the body of a much wealthier person.",,,
TEXTING 101 ME: Hi College son: ME: How are you? CS: ME: Are you still alive? CS: ... CS: CS: ME: I can cut off your phone CS: Hi Ma love u,,,
Me: goodnight kids Kids: goodnight dad Me: goodnight monster that eats children who are bad Wife: [through radio under the bed] GOODNIGHT,,,
ME: I fell off a 50 ft tall ladder once GIRL: holy cow how did you survive ME: I fell off the bottom rung,,,
"I had a terrible experience here. The service was bad. My meat was undercooked. I'll never come back. Anyway, can I see the dessert menu?",,,
My dog acts like her entire family was murdered by a vacuum cleaner.,,,
How do I like my eggs? Baked. In a cake.,,,
"[spelling bee] Your word is 'pressure' ""Can you use it in a sentence?"" I think it's time we moved in together",,,
Billion Dollar Idea: Girl Scout Nachos,,,
"Lately I go to the restroom at the movies, but forget where I'm seated then return & just begin a new life in a new seat with a new family.",,,
#ShareIfYouAgree pic.twitter.com/VEmeAFR0d3,,,
Women remember something that happened five years ago. I can't remember why I stood up.,,,
"It costs over $235,000 for parents to raise a child today. And that's just for the alcohol.",,,
"The circles under my eyes are so dark, Animal Planet is following me around filming a documentary about a raccoon out of its natural habitat",,,
5-year-old daughter: I always sit with my best friend Me: I'm glad you spend lots of time with her. 5: Him. Me: Never speak to him again.,,,
My kid doesn't always get toothpaste all over the sink; sometimes she remembers she's wearing school clothes and puts it there.,,,
"Me: I need to lose my baby weight. Diet coach: Awww, how old is your youngest? Me: Thirteen.",,,
My closet is like 15 shirts I plan to fit into again and 1 shirt I wear every day.,,,
I like to use the Ouija board to pester my dead husbands.,,,
"You mean these doors open automatically for everyone, not just me?",,,
It's nice having dogs that continuously warn me about the nothing outside.,,,
Delayed again. American Airlines is the safest airline I've known. Their planes never take off.,,,
Is coral the stupidest animal or the smartest rock,,,
"Sometimes, during the movie previews, I'll turn to the stranger sitting next to me and whisper, ""We should really go see that together."";;;;""453566881794764800",,,
Kanye asking Mark Zuckerberg for $1billion on Twitter is like walking into an Apple store and asking to speak to Bill Gates.,,,
Cats get all the single chicks.,,,
"He got me some fancy, romantic wine for Valentine's Day. It's the good stuff, with real French words printed on the box.",,,
My career is going to take off when I find a way to be a dad comic without actually having a kid.,,,
Know who has a bad sense of direction? This girl ---------->,,,
I save all my yawns in church until everyone is singing so it looks like I'm doing my part.,,,
"So are you taking your wife out on Valentine's Day? ""Nah, I couldn't find a hit man I could afford."";;;;""698592058857144321",,,
If people are going to judge me they should at least hold up scorecards so I know how I'm doing.,,,
"When I'm at the mall, I carry a purse around so people think I have a girlfriend",,,
Makes snow angel. Can't get up.,,,
It looks like I will be coming to America after all. It all depends on this final legal appeal against extradition.,,,
Maybe you aren't as smart as you think you are. That's how Not Smart works.,,,
Republicans & Democrats are like divorced parents who care more about getting the kids to hate the other one than they are their well-being.,,,
"[OUIJA board] Dad, is that you? W-A-N-T A W-E-R-T-H-E-R-S-? Oh, hi grandma.",,,
Any trip can be a guilt trip if my mother comes along.,,,
"Friends: ""Great brownies, man. Is there something *wink* in them?"" Me (mouth full): ""Aleve."";;;;""617126252801986560",,,
The secret to success is to surround yourself with people that don't know you.,,,
Whenever my dog winks at me I wink back just in case it's some sort of code I don't know about.,,,
[burglar gently waking me] you live like this?,,,
"It takes my wife 2 hours to complete a 2,000 piece jigsaw puzzle. It takes me 2 hours to get our toddler's feet into footy pajamas.",,,
The log-jam of candidates still in the presidential race could result in my greatest fear: Presidential Candidate Dance-Off.,,,
"*at the doctor's office* I would like one of those medically induced comas, please.",,,
A bed of roses seems amazing until you get a thorn in your side.,,,
"[legally changes name to 'Proud Of You'] ""SAY MY NAME DAD"";;;;""695346937197793280",,,
If IKEA and LEGO combined forces our children could make our furniture.,,,
No thanks skiing trip. I can stay at home and pull a muscle.,,,
"Say NO! to drugs. Say YES! to drugs. It really doesn't matter what you tell drugs because if you're talking to drugs, you're taking them.",,,
Lol at my car telling me to 'check tyre pressure' like it doesn't know I'm a woman and not a wizard.,,,
"Boy, they sure don't make time machines like they will anymore.",,,
THERAPIST: Why do you think some people don't like you? CAT: *just knocking everything off the shelves* I really don't know,,,
Stop blaming your parents. You're 32. Blame your spouse.,,,
"If I say, ""Don't worry, I'm on it,"" there's a 98% chance I'm referring to my couch.",,,
Are they going to play football in between the Super Bowl commercials again this year?,,,
What to do if a woman says... I'm upset: Console her. I'm mad: Buy her chocolate. I'm furious: Buy her wine. I'm fine: Flee the country.,,,
"Wrong key, wrong key, wrong key, wrong key, wrong key, wrong key... - Me trying to unlock my potential",,,
My dog can predict when an earthquake is going to happen. But television doorbell versus actual doorbell baffles him every time.,,,
I wish money would stop playing so hard to get.,,,
"I wanted to be a Starbucks barista, but that takes too many years of college.",,,
"Just did the math and found out I can retire next year if I start saving $144,468.02 a month.",,,
Battery: 17% Me: Same,,,
Missed connection. You forgot to hang up your coat and I'm hiding in your closet.,,,
My Retirement Plan hinges on having at least one successful kid.,,,
The journey of a thousand miles is a journey to avoid.,,,
ALIEN: You Earthlings have many technological advances. How do you predict the weather? ME: We pull a rodent out of a box.,,,
Who cares how I got inside your house. What matters is that we're together now.,,,
I was spontaneous once. It didn't go as planned.,,,
"If my kids knew there was a light in the oven, they'd leave that one on too.",,,
The fastest way to get your kids to shut up is to ask them a question you want answered.,,,
I only appreciate that tone of voice when I'm using it.,,,
Everybody runs faster than I do. You are not special grandma.,,,
"Vader: I AM your father. Luke: Wait, you knew I was your kid and you cut off my hand anyway? Vader: This dad thing is harder than it looks",,,
I don't use alcohol to solve my problems but when I'm drunk I'm an expert at solving yours.,,,
5-year-old: Why can't I leave my toys out? Wife: *long speech on responsibility* 5: Why can't I leave my toys out? Me: It attracts bears.,,,
My cat just swatted my dog in the face for yawning loudly and it was then I knew they were married.,,,
"Someone needs to invent an alarm clock that, if you hit snooze more than three times, will call in sick for you.",,,
"Hey autocorrect, how about you stop worrying about my typing and start worrying about my driving.",,,
Confession: I ate all my blizzard snacks during the first two hours of the storm & I'm probably not the guy you want on your apocalypse team,,,
You seem really hostile. We should go out.,,,
My dating profile is just a picture of men fleeing.,,,
Boss: This is the third time you've been late for work this week. Do you know what that means? Me: That it's only Wednesday,,,
"I may not be rich, I may not be smart, I may not be a good singer, I may not be a good dancer,.... I forgot where I was going with that.",,,
"""Relax. You can't be all things to all people. You're not a pizza."" - me as a therapist",,,
"My one-woman show, ""I Will Unload All These Groceries In One Trip If It Kills Me"" is getting rave reviews from the neighbors.",,,
"Starbucks is planning on selling beer and wine, apparently it's getting difficult to sell sober people a $12 cup of coffee.",,,
Any salad can be a Caesar salad if you stab it enough,,,
"I never thought Carly Simon's ""You're So Vain"" was about me. However ""Nobody Does It Better"" was both flattering and a little embarrasing.",,,
"We are dealing with bullying in my family. Specifically, my four year old is bullying me.",,,
You know that tingly little feeling you get when you like someone? That's your common sense leaving your body.,,,
I finally figured out what flies and mosquitoes are for. They're gods way of making us slap ourselves.,,,
I once watched a documentary on ferns because the remote was out of reach.,,,
Relationship Status: Throwing my own clothes out the window.,,,
"Just dropped my daughter back at college, which is located smack in the middle of The Land that Phone Reception Forgot.",,,
"I'm 43, but I still feel 25 if I'm lying down not moving.",,,
Why does everyone have to point out they adopted their dog? Are they worried that we are suspicious because it doesn't look like them?,,,
"Just added ""CLINGY"" to my dating resume",,,
There's no time capsule quite like the pocket of a coat that's been in the closet for a year.,,,
"If cats could talk, they wouldn’t and it’d be unnerving.",,,
"nurse: ""if youre going to give grapes to a baby make sure you cut them in half"" me: [visibly confused] wife: ""the grapes keith not the baby"";;;;""690530884198465537",,,
I don't mean to brag but I've come in second place in every fight I've ever been in,,,
"Parenting in the winter is just four straight months of yelling ""SHUT THE DOOR!"";;;;""550091644301635584",,,
A good neighbor will help you move. A great neighbor will move.,,,
"If I had a militia we wouldn't occupy a federal building, we would occupy a Krispy Kreme.",,,
This bartender doesn't know it yet but she's about to become a therapist.,,,
What if shrinking sweaters in the wash is the only thing I'm any good at?,,,
I've decided to become a vegetarian for attention,,,
My wife can speak 60 words a minute. With gusts up to 90,,,
I should have told my wife I was referring to her memory before comparing her to an elephant.,,,
"Despite watching several YouTube instructional videos, the appendectomy was unsuccessful.",,,
You're not the sharpest knife in my back.,,,
Today is my wife's birthday. What's the perfect gift for the woman who would never date me if she had just met me now?,,,
"Son, your father and I have something to tell you - you were adopted. Your new parents are waiting outside in the car.",,,
"I'm sorry ma'am, I cannot permit my son to interact with your son until you take him off the leash. I believe in free range babies.",,,
My sex tape is 30 minutes of me trying to get back on the floaty I fell off of in the pool.,,,
My wife is great at multitasking. She can be mad at me for five different things at the same time.,,,
Moses had the first tablet with cloud connectivity.,,,
Hell hath no fury like woman tagged in a Facebook photo that makes her look fat.,,,
A nice looking girl waved at me earlier today but there was no way I was swimming out that far to save her.,,,
The problem with eating at an American restaurant is that you're hungry again a week later.,,,
Guy walked into this Wal-Mart wearing a suit. He's our king now.,,,
Whenever something says 'sign here' I can't help but put Capricorn.,,,
Save half on vacations this year by not taking your partner with you.,,,
"According to the most current magazine in this doctor's office, every home in America will have a television by 1962.",,,
Learning from the past would be a lot easier if I could remember most of it.,,,
Sorry my cat thought your zen garden was a litter box.,,,
"Don't ask me if I've seen a new movie. I have four little girls. If there wasn't a singing princess in it, the answer is no.",,,
The only lottery I ever win is for jury duty.,,,
It takes a long time to delete 900 million dollars worth of stuff from an Amazon shopping cart.,,,
I just hired a private investigator to find out what I do all day.,,,
"Interviewer: ""What did you like best about your last job?"" Me: ""Sometimes, people had birthdays and there was free cake."";;;;""609026979346657282",,,
"I need a new cell phone, The camera on this one makes me look old.",,,
Reminder to anyone who received a book from me for Xmas. They're due back at the library today.,,,
My only wish is to outlive the expiration on a Twinkie.,,,
"Not to brag, but I have the high score on 7 different blood pressure machines around the city. *enters initials",,,
Like that movie 'Mad Max: Fury Road' but it's just me trying to get someone to the airport on time.,,,
"Apparently seasonal depression rates weren't high enough, because swim suits are now in stores.",,,
*bursts through double doors* If you weigh 99 pounds and eat 1 pound of nachos you will be 1% nachos!,,,
"I bet Egyptians were all like ""Yo, nobody in history will ever worship and revere cats like we do"" and then came the internet.",,,
Told my wife I was gonna lay on the couch and watch football all day and yadayadayada this tweet is coming to you from Bed Bath & Beyond.,,,
My patience needs an update.,,,
Dance like you have all six Powerball numbers.,,,
"If you mean ""putting a sheet of foil down so I don't have to wash the baking sheet after making nachos"" then, yes, I do clean eating.",,,
"When decorating your tween daughter's room, don't forget to leave ample space for half the glasses in your kitchen.",,,
"I bet the worst part about being a birthday cake is when you're set on fire, and then eaten by the hero that saved you.",,,
Puts in new HP ink cartridge Prints HP alignment sheet Gets notice that ink cartridge is now low.,,,
"30 seconds left on the microwave ~ Women: set table, pour drinks, tweet, talk on the phone ~ Men: do the space shuttle countdown",,,
"Welcome to the internet, where you’re always right and everyone else is always wrong.",,,
"If our kids have learned anything from our parenting, it’s the difference between right and wrong. Mom is right. Dad is wrong.",,,
"""Thank you for unsubscribing from our e-mail mailing list. Please allow 2-3 years for us to process your request."";;;;""684770066873892864",,,
"I still have a landline. Or as I like to call it, Cell Phone Finder.",,,
These mousetraps would probably work a lot better if I didn't like cheese so much.,,,
5-year-old: What's a jerk? Me: Someone who's not nice. 5: What do you call someone who is nice? Me: Canadian.,,,
Tested negative for affluenza and positive for poorlio.,,,
Don't think that I haven't noticed that you haven't noticed. ~ Women,,,
If you ever see me at a party there's a 90% chance I'm trying to remember the name of the person I just talked to.,,,
It's important to remember that exercise doesn't work unless you tell a bunch of people about it.,,,
Just got kicked out of Chipotle for knowing what I wanted when I got to the front of the line.,,,
"Apart from the couple of times I exercised, 2015 was a pretty good year",,,
"Umm Adele, have you tried texting?",,,
Dog 911: what's ur emergency? Dog: MY HUMAN WENT TO WORK Dog 911: so? Dog: WHAT IF THIS TIME HE DOESN'T COME BACK Dog 911: OMG Dog: OMG,,,
Still waiting for my wife to tell me what my 2016 resolution is going to be.,,,
"Seriously contemplating remarrying my ex wife, but I'm pretty sure she'll figure out that I'm just after my money.",,,
"A very special New Year's wish going out to a certain 10,000 people. You know who you are.",,,
"Relationship or hallucination? I don't care. Either way, I'm seeing somebody.",,,
Apparently it's inappropriate to ask where her shoes are from when you're in the next stall.,,,
[sitting at a table] Wife: writes number on paper and slides it across. Me: crosses out and writes new number *thermostat negotiations*,,,
App idea: FaceMace. Makes your phone shoot pepper spray directly into your face when you've taken too many selfies.,,,
Was it really Christmas if no one threatened to rewrite their will?,,,
Welcome to McTherapy™. May I take your disorder?,,,
"Arsenic is a spice, right?",,,
The worst thing about babies is how little they appreciate all the sleep they get.,,,
"If you can imagine it, I can screw it up.",,,
"I swallow at least one note per meal that says ""we're all really proud of you,"" in case the person who does my autopsy is having a bad day.",,,
"Parent: Good night, moon."" Moon: Can I have some water and maybe a banana and I need to tell you about unicorns. Parent: GOOD NIGHT MOON!",,,
"If you won't text me back, how will I know if you’re ignoring me?",,,
I'm so old I remember when water was free and you had to pay for porn.,,,
The average person has sex 89 times a year. This is gonna be one hell of a week.,,,
"I've been walking around with my hand in the air since I was left hanging on a high five on January 27, 1997.",,,
[buying treadmill] Me: Can I try it out first? Salesperson: Sure Me: (pulls out laundry basket and hangs wet clothes on it) I like it.,,,
"This is the time of year when many Christmas trees find themselves out of work and with no home. Please, give generously.",,,
"""We have you surrounded! Come out with your hands up!"" --being born",,,
I think these wireless headphones my wife gave me might be earmuffs.,,,
"If you can go to the gym without telling people on the Internet, you are instantly hired by the CIA",,,
Santa Claus Charged With Two Billion Counts of Breaking & Entering,,,
Her: What do you want for Christmas? Me: Let me win an argument,,,
This Christmas I celebrate the 30th anniversary of not getting the GI Joe aircraft carrier.,,,
"Imagine falling in love with me. Nice... Wait, stop eating my dessert. That's it, it's over.",,,
How did I get this cranky about a holiday that has its own category of cookies?,,,
Me: I can't find the remote. Keep your eyes open. 3-year-old: Me: 3-year-old: DAD! Me: What? 3-year-old: I need to blink.,,,
I just want 30 minutes on the treadmill to go as quick as 30 minutes on Twitter.,,,
"Personal Trainer: Show me the hardest thing that you do each day. Me: *Goes out front door of gym, comes back in*",,,
"My wife is all, ""we love each other so much we finish each other's sentences,"" until it comes to a prison sentence.",,,
"If someone ever intimidates you, remember that they're 70% water. Are you scared of water? Well you should be. 400,000 people drown per year",,,
"My nickname at work is shh, here she comes.",,,
What do you call your man card after twenty years of marriage? Your ma'am card...,,,
"I get it, inflatable lawn decorations. I, too, am empty and about to fall over before Christmas even gets here.",,,
They say you sleep a third of your life. That's ridiculous. I think if you set your mind to it you can get that number up to at least 50%.,,,
the best way to dry off a cat is to wring it out like a towel,,,
I really hope that's a banana in her pocket.,,,
I'm thinking of a number between 1 and 10 what are you guys thinking about?,,,
Kangaroo 911: What's your emergency? Kangaroo: I CAN'T FIND MY CHILDREN Kangaroo 911: Did you check your pockets? Kangaroo: Oh nevermind,,,
"Me: What happened to all the bourbon? Her: Oh, I put it in the chicken. Me: Then pour me a glass of chicken.",,,
Just knocked over my cat's Christmas tree.,,,
I'd probably be more of a go getter if I knew what I was going to get.,,,
"If I see you at the drugstore before you see me, I'll wait until you're in an embarrassing aisle before coming up to say ""Hi!"";;;;""677973399692382208",,,
WHAT DO YOU MEAN YOUR CAT DOESN'T HAVE A MIDDLE NAME?,,,
I like you. Wanna ruin my life?,,,
Selfie-stick? More like narcissi-stick.,,,
"If I was a Life Coach, most of you would be benched.",,,
If it ain't broke don't fix it up with my sister because she only dates guys who are unemployed.,,,
*You are what you eat* I mumble under my breath as my coworkers eat fruitcake,,,
"Twitter: where people from all over the world meet and form relationships, all while sitting on their toilets.",,,
"Now that oil is so cheap, we should start drilling for black printer ink.",,,
It's almost time to switch from my everyday anxiety to my fancy Christmas anxiety.,,,
Attention shoppers: Would the owner of a sleigh and eight reindeer please return to your vehicle? You left your red light on.,,,
If I had to parallel park to pass my road test I still wouldn't have a driver's license.,,,
[out in public] Me: A kid is crying. Wife: It's not one of ours. [we fist bump],,,
Officer: Do you know why I pulled you over? Me: Because I didn't see you first.,,,
911: what is your emergency? Me: my ex seems happy,,,
"I'd like to thank whomever told my mom that WTF means ""wow that's fantastic."" Her texts are so much more fun now.",,,
"As one of my interns, part of your job will be to reach my goal weight, since I am too busy to be bothered.",,,
"Dear Cheese, Keep up the good work",,,
I lost a fight with my wife today and I wasn't even there.,,,
Turn your trip to the grocery store into a ninja challenge by shopping strictly out of other people's carts when they're not looking.,,,
"Lose weight by taking 3 simple steps! And then take 3 more steps. Basically, keep walking until you've lost the weight.",,,
Find that special person who'll watch you stare at your phone for the rest of your life.,,,
I think they’re called cell phones because we’re pretty much imprisoned by them now.,,,
"scientist: ""i can teach your dog to talk"" [looks down at my dog knowing what he's seen me do over the years] me: ""no thanks"";;;;""674964551960559616",,,
"If you want to ever know the truth about how someone feels about you, get drunk with them.",,,
My daughter just asked me how to spell bourbon so she's either asking Santa to hook up her old man or writing a letter to child services.,,,
Sorry we're late. My daughter was eating each individual Cheerio like it was a mini doughnut.,,,
It's important to teach your children math so they can better understand what episode of Star Wars they are watching.,,,
A three toed sloth would make a horrible bomb sniffing animal for Customs.,,,
The leading cause of December suicides is not being able to find the end of the roll of tape.,,,
I spend 99% of my drunk time chasing my cat around trying to give him a hug.,,,
My house has a panic room. It's whatever room I'm in when I open the credit card bill.,,,
I'm not ignoring you. I merely got distracted by absolutely everything else in the entire world.,,,
"I go to office supply stores for white out, and liquor stores for black out.",,,
I won't even look up from my phone until the 3rd date.,,,
"Sure I could kill you with kindness, but let’s see what else is lying around first.",,,
No one wants to hang out with me because I already started my New Years Eve countdown,,,
Wow. You're so emojional.,,,
"It's time to admit that as a species, we are just not ready for 4-way stops",,,
Shout out to people who are hard of hearing.,,,
I'm letting my kids be naughty this year to save $$,,,
"I don't need one of those sticks, the police take my selfies.",,,
Me: *walks in the door* How was your day? Wife: *hands me a kid* *hands me another kid* *hands me another kid* *hands me another kid*,,,
"Comparing men to women is like comparing apples to complicated long-range, heat-seeking, land-attack missiles.",,,
"A good prank is that you can donate your body to anyone, not just science",,,
I just wanted to say that you are beautiful and I love you and I wasted all our grocery money on the claw grabber game. Here's a pink bear.,,,
"Friend: I want a baby. Me: Remember when your neighbor was practicing the clarinet at 1AM? It’s like that, but you can’t call the cops.",,,
Life's a piano and I'm wearing boxing gloves,,,
I’m a suburban white guy. I could use some blues songs about long lines at Starbucks or forgetting the password to my 401k account.,,,
Congrats to Kim and Kanye on the birth of their son: First name: Wild Middle name: Wild,,,
I don't understand how medicinal pizza is not covered by insurance yet.,,,
The great thing about being hungover is that I was going to be miserable today anyway.,,,
"""Because it would be hilarious,"" is probably not a good reason to elect someone to be president.",,,
one door closes another opens one door closes another opens one door closes another opens - me eating through a chocolate advent calendar,,,
Dogs never make the debate team because they agree with everything you say.,,,
I would rather play Russian Roulette than Monopoly. At least I know there's an end to that game.,,,
It's always good when a woman tells a man she knows what he is thinking since that means she at least thinks he's thinking...,,,
He wiped away her tears and accidentally her eyebrows too.,,,
I'll buy a Fitbit when they have one that tracks how many miles I roll my eyes every day.,,,
"He had ""Kermitment"" issues. -Ms. Piggy",,,
The problem with old people is they'll sometimes run you over,,,
I'm not brave. I'm just past the age where running is an option.,,,
I miss the good old days when “self-checkout” was faster and less complicated and called “shoplifting.”,,,
"In my defense, you weren't supposed to take my advice",,,
One more hour and then I'm definitely getting up off this floor.,,,
Why am I always the last to know that I'm in an open relationship?,,,
Help! I'm in Victoria's Secret with my wife and I don't know where to look.,,,
Just got asked what kind of car I have.... Apparently a 'silver one' isn't descriptive enough,,,
The hardest thing about giving my 4yo a timeout is how much I envy her.,,,
"All these people casually jogging down the street, and then me, looking like I'm trying to pull an invisible dog sled.",,,
cop: Do you know why I pulled you over? me [typing this] Hang on,,,
Me: 1. Talking cats 2. Real lightsabers 3. Cars that fire missiles Genie: Put me back in the bottle and give me to someone normal.,,,
I laugh and encourage your dysfunctional behavior because I have something wrong with me too.,,,
I think I married someone else's soulmate. I wish they'd come get him.,,,
She hasn't texted me back in 7 months. She's just playing hard to get.,,,
Things that can be end of the world: 3) disease 2) nuclear war 1) giving my 3-year-old the blue cup when she asked for the green one,,,
$$$ the original emoji,,,
Anyone seen my hair?,,,
Entered what I ate today into my new fitness app and it just sent an ambulance to my house.,,,
"Adult: If it ain't broke don't fix it Child: If it ain't breakable, not interested",,,
"How do I stay humble? Well, it's not easy, but I start by being generally bad at almost all things",,,
"Turns out ""door buster"" is just a figure of speech and I'm the only one that brought a battle axe to Black Friday.",,,
My wife set a limit on how much we can spend on each other for Christmas. It’s $100 on me and $500 on her.,,,
"You have to admire husband's focus as he plays on his iPad while I furiously chop carrots tapping out ""I hate you"" in morse code w my knife.",,,
Nobody knows the trouble I've ignored.,,,
"If elected, the first thing I'd do is pass a bill making the text from a woman ""I need to talk to you about something"" an act of terrorism.",,,
I'm actually quite nice until you marry me.,,,
All I'm saying is there's a reason all the best love songs have the word crazy in them...,,,
I will never judge or disrespect anyone on Twitter. I'm just here to check your spelling.,,,
*wakes up to wife and son screaming* me: What are you guys yelling about? them: YOU'RE DRIVING,,,
"According to WebMD, laughter isn't even a medicine.",,,
"Everybody is complaining about their significant other, and I'm over here trying to keep mine charged above 10%.",,,
I'm the guy in the group that constantly asks when we're eating again,,,
App would like to access your location. App would like permission to post to your Facebook. App says crack the blinds in your bedroom pls.,,,
There's nothing more difficult than trying to convince a narcissist that you don't like them.,,,
People tend to overreact when they look in their rear view mirror & see you sitting in their backseat dressed like a clown.,,,
Psychoanalysis is just regular analysis performed by one of my exes,,,
"3-year-old: *puts a blanket over the baby* Me: Aw, you covered her up. 3-year-old: Yeah. I don’t want to see her anymore.",,,
"While I admire your confidence, I remain clueless as to its origin.",,,
Friend 1: I was promoted. Friend 2: I got engaged. Friend 3: My wife is pregnant again. Me: One of my selfies almost got 50 likes.,,,
Think my wife is a little OCD since whenever I go out with the kids I need to come home with the exact same amount.,,,
"If it weren't for grudges, some people wouldn't have anything to hold onto.",,,
It's amazing how many cartoon characters from my childhood have kept their careers alive on Twitter.,,,
"The truth doesn't always set you free, sometimes it just gets you into more trouble.",,,
If cats could drive cars they wouldn't use their turn signals either.,,,
"If there were an Olympic medal for making three trips upstairs before I got what I went for, my face would be on a box of Wheaties by now.",,,
"I'll give you 5 minutes to yourself, but only 10 seconds at a time. -kids",,,
I think War and Religion need to go to couples' therapy.,,,
Question for women: Do you have to practice the penetrating look of disapproval or is it something you’re all born with?,,,
"No, I don't have a bathrobe. I'm not some billionaire.",,,
Marriott is buying Starwood Hotels for $12 billion. That seems like a lot but $11 billion of that is for the contents of the minibars.,,,
"If you can't remember my name, just say 'donuts'. I'll turn around and look.",,,
"I just sent an office-wide email to a business where I no longer work saying ""Muffins and Danish in the break room, help yourself!"";;;;""665181686934573057",,,
I bet the only thing more stressful than defusing a bomb is letting your husband pack for a big trip.,,,
Imagine how expensive the iPhone would be if they called themselves Organic Apple.,,,
The hardest part of any relationship is when it's not your turn to talk.,,,
