Original Tweet,Text of tweet,Hashtags,Users tagged,length,Class
"Calling the investigations into Hillary Clinton a ""witch hunt"" is such a sexist assault upon her #JustSaying #sarcasm #LOL #corruption",Calling the investigations into Hillary Clinton a witch hunt is such a sexist assault upon her,sarcasm corruption LOL JustSaying,,134,NS
"@EdMorrissey I'm sure he heard about it on the news just like the rest of us...#sarcasm 
  
  He's in Orlando at rally at @UCF",I m sure he heard about it on the news just like the rest of us He s in Orlando at rally at,,UCF EdMorrissey,126,S
@JohnLockesKnife @ActualFlatticus #CTR. You mean JUSTLY REWARDED FOR SPREADING THE TRUTH OF HRC'S PERFECTION?! (#sarcasm) #YesWithAllCaps,You mean JUSTLY REWARDED FOR SPREADING THE TRUTH OF HRC S PERFECTION,YesWithAllCaps CTR.,ActualFlatticus JohnLockesKnife,137,S
"@JODYMITIC you know what they say... if you're too busy to tweet, you're too busy. #sarcasm",you know what they say if you re too busy to tweet you re too busy,sarcasm,JODYMITIC,91,S
"@TeaPainUSA Actually came from Hillary too, because her email address is includes or cc or in a way all inclusive. #EmailForDummies #Sarcasm",Actually came from Hillary too because her email address is includes or cc or in a way all inclusive,EmailForDummies Sarcasm,TeaPainUSA,140,S
@The_Phinstones Completely confident that each and every game will be played. #Sarcasm,Phinstones Completely confident that each and every game will be played,Sarcasm,The_Phinstones,86,S
@Colin_TBTAMC You're making a point aren't you. Is it about how these feminists are taking over the media and stealing men's jobs? #sarcasm,TBTAMC You re making a point aren t you Is it about how these feminists are taking over the media and stealing men s jobs,sarcasm,Colin_TBTAMC,139,NS
Just realized I am going to have to rewire my whole desk this weekend...YAY. #fakejoy #Sarcasm #Idontwantto,Just realized I am going to have to rewire my whole desk this weekend YAY,Sarcasm fakejoy Idontwantto,,107,S
YAAAS. Newsflash: Each person = responsible for what they do. They are not responsible for what others do. RevolutiÃ¢â‚¬Â¦ https://t.co/ZkoxdM4TTo,YAAAS Newsflash Each person responsible for what they do They are not responsible for what others do RevolutiÃ¢â‚¬Â¦,,,146,NS
Yep. The fact that it's about Weiner and not Clinton doesn't seem to interest them at all. Can't imagine whyÃ¢â‚¬Â¦ https://t.co/NzUb6kD8we,Yep The fact that it s about Weiner and not Clinton doesn t seem to interest them at all Can t imagine whyÃ¢â‚¬Â¦,,,139,S
@wikileaks clearly @FBI is working for @PutinRF :-D #Sarcasm,clearly is working for D,Sarcasm,wikileaks FBI PutinRF,60,S
"So oct is octover 
  Nov remember
  Dec only December 
  #sarcastic #sarcasm #sagarcasm 
  #virendersehwag",So oct is octover Nov remember Dec only December,sarcasm sagarcasm virendersehwag sarcastic,,106,NS
"@OnMessageForHer @tomesimpson 
  Yeah!! Arlington Doesn't have enough Women Buried in it!!
  #Sarcasm",Yeah Arlington Doesn t have enough Women Buried in it,Sarcasm,OnMessageForHer tomesimpson,101,NS
@Jake_E_Consig @pdxalerts You're welcome. #sarcasm Ã°Å¸Ëœâ€°,E Consig You re welcome Ã°Å¸Ëœâ€°,sarcasm,Jake_E_Consig pdxalerts,60,NS
BREAKING NEWS: 'The Russians' just reopened the FBI investigation into Hillary's emails! #Sarcasm #HillarysConspiracyTheories,BREAKING NEWS The Russians just reopened the FBI investigation into Hillary s emails,Sarcasm HillarysConspiracyTheories,,125,NS
When you make a joke online make sure you use #Sarcasm Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€š,When you make a joke online make sure you use Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€š,Sarcasm,,73,NS
"@KCookKGW @pdxalerts LOL, Yeah, cuz the media is always so accurate about everything #sarcasm Thanks for the reply :-)",LOL Yeah cuz the media is always so accurate about everything Thanks for the reply,sarcasm,KCookKGW pdxalerts,118,S
"@Pandamoanimum Oh great....I wholeheartedly look forward to 2 separate breakup songs from the two of them....
  
  #sarcasm",Oh great I wholeheartedly look forward to 2 separate breakup songs from the two of them,sarcasm,Pandamoanimum,123,S
@Baramenyn @Steffan_Thomas1 @SiobhanCorc journo who can't spell has a go at a ref who can't ref. #sarcasm #bore12,Thomas1 journo who can t spell has a go at a ref who can t ref,sarcasm bore12,Baramenyn SiobhanCorc Steffan_Thomas1,113,NS
Vagina rules coffee mug https://t.co/Ct2gm9CSW4 #sarcasm #funnygift #WitticismsRus #White_mug https://t.co/1jcInMdUXI,Vagina rules coffee mug mug,sarcasm White_mug WitticismsRus funnygift,,117,NS
I entered the docs room to find 2 cigarettes waiting for me. Guess I got company tonight! #Irony #SarcasmÃ¢â‚¬Â¦ https://t.co/W05ZLVxBsU,I entered the docs room to find 2 cigarettes waiting for me Guess I got company tonight,Irony SarcasmÃ¢â‚¬Â¦,,136,NS
"@KhanKiTigress ground worker ... lol . 
  By the way where r u ? At home relexng bashing others?
  Its time to joint every one not #sarcasm",ground worker lol By the way where r u At home relexng bashing others Its time to joint every one not,sarcasm,KhanKiTigress,139,NS
"Heard a shout of ""Lock Her Up,"" from the crowd just now. Couldn't tell who they were talking about #sarcasm",Heard a shout of Lock Her Up from the crowd just now Couldn t tell who they were talking about,sarcasm,,107,S
If ever there were a reason for the world to end Ã°Å¸â„¢â€žÃ°Å¸â„¢â€žÃ°Å¸â„¢â€ž#sarcasm #bun2016 #nonsense https://t.co/69T7q3yyIG,If ever there were a reason for the world to end Ã°Å¸â„¢â€žÃ°Å¸â„¢â€žÃ°Å¸â„¢â€ž#sarcasm,bun2016 nonsense,,130,NS
"@Lanipator Oh come on, Lani. The 60s and 70s weren't THAT bad. #Sarcasm",Oh come on Lani The 60s and 70s weren t THAT bad,Sarcasm,Lanipator,71,NS
Why do we even try anymore? Can't wait to get my Liriano jersey. #Sarcasm https://t.co/lWvjF6V707,Why do we even try anymore Can t wait to get my Liriano jersey,Sarcasm,,97,NS
"I wish there was something to argue about. 
  
  Oh, wait. 
  
  Found it! 
  
  #sarcasm",I wish there was something to argue about Oh wait Found it,sarcasm,,89,S
"Oh my god! Emails, Emails, Emails! What am I gonna do?!? I totally don't know who to vote for oh god!#sarcasm #ImWitHer #absenteeballot",Oh my god Emails Emails Emails What am I gonna do I totally don t know who to vote for oh god,ImWitHer absenteeballot,,135,S
Ted Cruz seems to think so #sarcasm https://t.co/AoeGkijwI0,Ted Cruz seems to think so,sarcasm,,59,NS
"Oh, hey, yeah, this is fun. #sarcasm. Not going to lie, getting tired of this place. (at @nmhnews in Chicago, IL) https://t.co/bCZSnim30O",Oh hey yeah this is fun Not going to lie getting tired of this place at in Chicago IL,sarcasm.,nmhnews,137,S
LHH @HillaryClinton gosh this election is all about #sarcasm https://t.co/8qCJu5ShO8,LHH gosh this election is all about,sarcasm,HillaryClinton,84,NS
if you have ever brought up my daughter and were not friends....I didn't forget about you. it'll be taken care of.. #FairyTail #Sarcasm,if you have ever brought up my daughter and were not friends I didn t forget about you it ll be taken care of,FairyTail Sarcasm,,135,S
well done @cnbc.. clap clap clap #sarcasm.,well done clap clap clap,sarcasm.,cnbc..,42,NS
"MSM holding conference call with Team Hillary to settle on weekend spin regarding FBI re-opening email investigation.
  
  #sarcasm",MSM holding conference call with Team Hillary to settle on weekend spin regarding FBI re opening email investigation,sarcasm,,131,NS
Lucifer Morningstar Ã°Å¸ËœÂ #luficer #lucifermorningstar #tomellis #fox #thedevil #sarcasm #loveitÃ¢â‚¬Â¦ https://t.co/VwNThsw5N0,Lucifer Morningstar Ã°Å¸ËœÂ,loveitÃ¢â‚¬Â¦ luficer sarcasm fox thedevil lucifermorningstar tomellis,,130,NS
"$10M wired today by #Trump to ""support"" his campaign. Sure it had nothing to do with this. #Sarcasm https://t.co/ATxf884nhv",10M wired today by to support his campaign Sure it had nothing to do with this,Sarcasm Trump,,123,NS
I just love our media. #Sarcasm https://t.co/UBNsCQqx6m,I just love our media,Sarcasm,,55,S
I can't seem to do anything right today. #sarcasm,I can t seem to do anything right today,sarcasm,,49,S
Delay number 5... I guess we could go to Dallas tomorrow. Love @AirCanada #sarcasm #thanksfornothing now we're out a rental car for Dallas.,Delay number 5 I guess we could go to Dallas tomorrow Love now we re out a rental car for Dallas,sarcasm thanksfornothing,AirCanada,139,S
We know this is a serious issue cuz Olbermann is calling for somebody to resign. He NEVER does that #sarcasm https://t.co/Yl2MUuFwEN,We know this is a serious issue cuz Olbermann is calling for somebody to resign He NEVER does that,sarcasm,,132,S
"Thanks @VirginHolidays been stood in JFK airport for 40 minutes waiting for a transfer you booked for us, #greatservice #sarcasm",Thanks been stood in JFK airport for 40 minutes waiting for a transfer you booked for us,greatservice sarcasm,VirginHolidays,128,S
"Yep! That's me!Ã°Å¸Ëœâ€š
  #sarcasm #beingsarcastic #9gag https://t.co/dDPl6XqUYv",Yep That s me Ã°Å¸Ëœâ€š,sarcasm 9gag beingsarcastic,,81,NS
Glitter herpes coffee mug https://t.co/onLuE0lTp5 #WitticismsRus #sarcasm #Funny_mug https://t.co/GOjgmwZcCe,Glitter herpes coffee mug mug,sarcasm Funny_mug WitticismsRus,,108,NS
Thinking Humanity: 20 Traits Of A Sarcastic Girlfriend https://t.co/dhSJ15uLg7 #Sarcasm #SarcasticGirlfriend https://t.co/UxrtVnINqC,Thinking Humanity 20 Traits Of A Sarcastic Girlfriend,Sarcasm SarcasticGirlfriend,,132,NS
Proof that James Comey of The FBI is a Russian working for Donald Trump #Sarcasm #wikileaks @wikileaks,Proof that James Comey of The FBI is a Russian working for Donald Trump,Sarcasm wikileaks,wikileaks,102,S
"@Aleisa0 every1 with a beating heart suffers! Kids and the elderly are the ones who can't defend themselves! But, *it's so far away #Sarcasm",every1 with a beating heart suffers Kids and the elderly are the ones who can t defend themselves But it s so far away,Sarcasm,Aleisa0,140,NS
"Dost: I am way ahead of my time.
  Me: You can't be John Cena
  Dost: Bhai kyun?
  Me: Because his time is now #thuglife #JohnCena #Sarcasm",Dost I am way ahead of my time Me You can t be John Cena Dost Bhai kyun Me Because his time is now,JohnCena Sarcasm thuglife,,139,NS
WHAAAAT?! I'm shocked that the media jumped all over something that wasn't there! #sarcasm https://t.co/Q4TXF47JNd,WHAAAAT I m shocked that the media jumped all over something that wasn t there,sarcasm,,114,S
@naughtywriter2 I know other Charger fans who feel the same way. What a season. #Teasing #Sarcasm #FunnyTweet,I know other Charger fans who feel the same way What a season,Sarcasm Teasing FunnyTweet,naughtywriter2,109,NS
"@NolteNC Typical #CBS propaganda Not a ""Review"" an Investigation #sarcasm #tcot",Typical propaganda Not a Review an Investigation,CBS tcot sarcasm,NolteNC,79,NS
@kayleighmcenany #Trump must be onphone with #Putin Right now! i heard they speak at least once a day especially to say good night #SARCASM,must be onphone with Right now i heard they speak at least once a day especially to say good night,SARCASM Putin Trump,kayleighmcenany,139,NS
Is it offensive if a white person dresses up as a black person? #sarcasm,Is it offensive if a white person dresses up as a black person,sarcasm,,72,S
@politico #Trump must be on the phone with #Putin Right now! i heard they speak at least once a day especially to say good night #SARCASM,must be on the phone with Right now i heard they speak at least once a day especially to say good night,SARCASM Putin Trump,politico,137,S
#alcoholsense Bring back Carrie Nation and Women's Temperance Union #sarcasm https://t.co/vbzlsp0FZm,Bring back Carrie Nation and Women s Temperance Union,alcoholsense sarcasm,,100,NS
@dashingdaniel @nytimes I'm sure they'll really miss you. #sarcasm,I m sure they ll really miss you,sarcasm,nytimes dashingdaniel,66,NS
"In India Only Justice System Works, Yay!! #Sarcasm https://t.co/iftCkxGP9z",In India Only Justice System Works Yay,Sarcasm,,74,S
"@philson99 @FoxNews @Judgenap @FoxNewsInsider Ahhhh, remembering the slimey feeling of having a Clinton in office #goodtimes #sarcasm",Ahhhh remembering the slimey feeling of having a Clinton in office,sarcasm goodtimes,Judgenap FoxNewsInsider FoxNews philson99,133,NS
"HuffPost's got no agenda, they're journalists. They really know what's important. #Sarcasm #pathetic https://t.co/fBJKVp7La9",HuffPost s got no agenda they re journalists They really know what s important,Sarcasm pathetic,,124,NS
Follow for #sarcasm,Follow for,sarcasm,,19,NS
"How impartial, balanced opinion...a comment beyond nationalism. #sarcasm https://t.co/SjDk8jIC04",How impartial balanced opinion a comment beyond nationalism,sarcasm,,96,NS
"@CapsYapp But the ""Security Review"" is over. What could they possibly be doing? #Sarcasm",But the Security Review is over What could they possibly be doing,Sarcasm,CapsYapp,88,NS
"They're still working @IGN! Finally an ""official update!"" Ã°Å¸Ëœâ€¦ #sarcasm #stillhypedtbh https://t.co/VEeqZNShil",They re still working Finally an official update Ã°Å¸Ëœâ€¦,sarcasm stillhypedtbh,IGN!,115,NS
So glad I got to watch the helicopter land in my hometown live from snapchat Ã°Å¸â„¢Æ’#sarcasm,So glad I got to watch the helicopter land in my hometown live from snapchat Ã°Å¸â„¢Æ’#sarcasm,,,94,S
"Those who say that u cant cheat yourself r the same people who put their watches 10 mints further
  #Sarcasm",Those who say that u cant cheat yourself r the same people who put their watches 10 mints further,Sarcasm,,108,S
"Yeah, because nuclear disarmament would be such a bad thing. #SARCASM https://t.co/XWxOPr003F",Yeah because nuclear disarmament would be such a bad thing,SARCASM,,93,S
"@SushmaSwaraj
  bt when u come to know that he is your bribe asking passport officer?!!
  srry I cant resist to b hpy
  @passportsevamea #Sarcasm",bt when u come to know that he is your bribe asking passport officer srry I cant resist to b hpy,Sarcasm,SushmaSwaraj passportsevamea,145,S
@CarowskiJoe @HillaryClinton Huge? Is that #Sarcasm ?,Huge Is that,Sarcasm,HillaryClinton CarowskiJoe,53,NS
@AP4LP Isn't early voting great! #sarcasm,Isn t early voting great,sarcasm,AP4LP,41,NS
@NoahCRothman @JonahNRO Isnt early voting great! #sarcasm,Isnt early voting great,sarcasm,JonahNRO NoahCRothman,57,S
"This would be a great time for a surprise rate hike.
  #sarcasm",This would be a great time for a surprise rate hike,sarcasm,,63,NS
I wonder if anyone at the FBI is long $VIX futures? #sarcasm #hillaryEmails,I wonder if anyone at the FBI is long VIX futures,sarcasm hillaryEmails,,75,S
"@ajitbhinder 
  Very sad to hear, but this can't be made a subject for #sarcasm",Very sad to hear but this can t be made a subject for,sarcasm,ajitbhinder,79,NS
"We have it on good authority. #sarcasm
  
  #PodestaEmails21 #Demexit #JillNotHill @Wikileaks https://t.co/cXjPGOPFGc",We have it on good authority,sarcasm PodestaEmails21 JillNotHill Demexit,Wikileaks,117,NS
IÃ¢â‚¬â„¢m not glad itÃ¢â‚¬â„¢s Ã¢â‚¬Å“FridayÃ¢â‚¬Â IÃ¢â‚¬â„¢m glad itÃ¢â‚¬â„¢s Ã¢â‚¬Å“TodayÃ¢â‚¬Â. Love your life 7 days a week. #sarcasm,IÃ¢â‚¬â„¢m not glad itÃ¢â‚¬â„¢s Ã¢â‚¬Å“FridayÃ¢â‚¬Â IÃ¢â‚¬â„¢m glad itÃ¢â‚¬â„¢s Ã¢â‚¬Å“TodayÃ¢â‚¬Â Love your life 7 days a week,sarcasm,,140,NS
"Thanks #mariadb for ignoring order statements in subqueries, real nice feature and so usefull #mysql #sarcasm",Thanks for ignoring order statements in subqueries real nice feature and so usefull,sarcasm mariadb mysql,,109,NS
@RVankwani @Fereeha my 1st tweet was a taunt on pmln govt..just to let all know #sarcasm,my 1st tweet was a taunt on pmln govt just to let all know,sarcasm,RVankwani Fereeha,88,NS
"The FBI is a propaganda arm of the Russians! #sarcasm Ã°Å¸Ëœâ€™ 
  This is the prob w/selecting Clinton and not Sanders Ã°Å¸ËœÂ§Ã¢â‚¬Â¦ https://t.co/trt16unPaD",The FBI is a propaganda arm of the Russians Ã°Å¸Ëœâ€™ This is the prob w selecting Clinton and not Sanders Ã°Å¸ËœÂ§Ã¢â‚¬Â¦,sarcasm,,159,S
I just love it when people don't respect my time Ã°Å¸Ëœâ€™Ã°Å¸Ëœâ€™#sarcasm,I just love it when people don t respect my time Ã°Å¸Ëœâ€™Ã°Å¸Ëœâ€™#sarcasm,,,75,S
Such a large rally looks like a record attendance! #Sarcasm #HesWithHer https://t.co/lNG5HeUfjP,Such a large rally looks like a record attendance,Sarcasm HesWithHer,,95,NS
@MattConYT @NBCNews Isn't early voting great! #sarcasm,Isn t early voting great,sarcasm,MattConYT NBCNews,54,NS
"And there is your October surprise... Gonna be a fun 11 days
  #Sarcasm #ShootMeInTheFace https://t.co/nhjIb6JpCI",And there is your October surprise Gonna be a fun 11 days,ShootMeInTheFace Sarcasm,,113,NS
"goodnight, baby!
  .
  .
  #justsaying #sarcasm #quote#qotd #goodnight https://t.co/TGxwUGg0YE",goodnight baby,sarcasm quote#qotd goodnight justsaying,,94,NS
Ugh... Perfect timing. #sarcasm https://t.co/AMB99pvJSJ,Ugh Perfect timing,sarcasm,,55,NS
@scrowder Isn't early voting great! #sarcasm,Isn t early voting great,sarcasm,scrowder,44,NS
"Dad to my mom: Lets go for a bike ride.
  Mom: Ya sure you go ahead. I'll catch up. #sarcasm
  Me: Catch up with the car...
  Ã°Å¸â„¢Å Ã°Å¸Ëœâ€ 
  #andwelaughed",Dad to my mom Lets go for a bike ride Mom Ya sure you go ahead I ll catch up Me Catch up with the car Ã°Å¸â„¢Å Ã°Å¸Ëœâ€,sarcasm andwelaughed,,160,NS
What's happening - #chaos randomness# poetry# and #sarcasm,What s happening randomness# poetry# and,sarcasm chaos,,58,NS
At least Democrats nominated the more electable candidate. #sarcasm https://t.co/schsoxaMNO,At least Democrats nominated the more electable candidate,sarcasm,,91,NS
I'm so offended people retweeted about me. I hate it when my friends compliment me. #sarcasm,I m so offended people retweeted about me I hate it when my friends compliment me,sarcasm,,92,S
"Of course, because Wikileaks is such a credible source. #Sarcasm https://t.co/D8yaNUEVrT",Of course because Wikileaks is such a credible source,Sarcasm,,88,S
"@PeterCIAmCoptic No, of course not! #sarcasm",No of course not,sarcasm,PeterCIAmCoptic,44,S
"It's said that #sarcasm is the lowest form of #wit. To that I say ""No, really? Hey, somebody give this person a #Nobel #peace #prize!""",It s said that is the lowest form of To that I say No really Hey somebody give this person a,"sarcasm wit. peace prize!"" Nobel",,134,S
@FairestRunOfAll I'll be going on Saturday. Can't wait to see what it looks like! #sarcasm,I ll be going on Saturday Can t wait to see what it looks like,sarcasm,FairestRunOfAll,90,NS
"#gold dump only in my fantasy, #gold just ripped higher. What a great #intuitionist I am #sarcasm #next",dump only in my fantasy just ripped higher What a great I am,intuitionist next gold sarcasm,,103,NS
This rigged election just keeps getting more and more rigged #clintonemails #biasedmedia #sarcasm,This rigged election just keeps getting more and more rigged,sarcasm biasedmedia clintonemails,,97,NS
The opp of a dog is a .... #Sarcasm https://t.co/Pzux5Jdw4y,The opp of a dog is a,Sarcasm,,59,NS
"Always working Ã°Å¸ËœÅ @snapchatsupport 
  
  #Sarcasm 
  
  Is it because my ram is too low ? https://t.co/qfVUsEOCUT",Always working Ã°Å¸ËœÅ Is it because my ram is too low,Sarcasm,snapchatsupport,119,NS
"@t2Hicks And in unrelated news, who dies this weekend b/c of this announce? #sarcasm",And in unrelated news who dies this weekend b c of this announce,sarcasm,t2Hicks,84,NS
@lazygamereviews @BluScreen_Jason it's about contrast - shitty audio makes you appreciate the better graphics and textures more #Sarcasm,Jason it s about contrast shitty audio makes you appreciate the better graphics and textures more,Sarcasm,lazygamereviews BluScreen_Jason,136,NS
@NHLPlayerSafety = role model of consistency... #Sarcasm https://t.co/7JNNeqUR4y,role model of consistency,Sarcasm,NHLPlayerSafety,80,NS
"I so enjoy the face melting pain of a salivary stone. Although, I must say these pain killers are bloody marvellous. #sarcasm #painkillers",I so enjoy the face melting pain of a salivary stone Although I must say these pain killers are bloody marvellous,sarcasm painkillers,,138,S
@WalkerBragman @mattyglesias be the first president of the new world government Hillary will implement. #sarcasm,be the first president of the new world government Hillary will implement,sarcasm,WalkerBragman mattyglesias,112,NS
"People really need this..
  #sarcasm #sarcastic https://t.co/YMPeM0Rzjf",People really need this,sarcasm sarcastic,,71,NS
"@bilalfqi they're good terrorists. (Pak Govt. Spokesperson) They only kill Shias &amp; Ahmadis.
  #Sarcasm",they re good terrorists Pak Govt Spokesperson They only kill Shias amp Ahmadis,Sarcasm,bilalfqi,106,NS
@DRUDGE_REPORT @RossMcleanSec @nbcwashington And the avalanche begins. #sarcasm,REPORT And the avalanche begins,sarcasm,nbcwashington RossMcleanSec DRUDGE_REPORT,79,S
"@BCCAwards I suppose we should no longer promote Olympians then, as their bodies are unattainable for the average paper pusher. Ã°Å¸â„¢â€žÃ°Å¸Â¤â€ #sarcasm",I suppose we should no longer promote Olympians then as their bodies are unattainable for the average paper pusher Ã°Å¸â„¢â€žÃ°Å¸Â¤â€,sarcasm,BCCAwards,156,S
Middle finger T-shirt https://t.co/L5nnDs3Q5G #WitticismsRus #sarcasm #funnygift #Ladies_tshirt https://t.co/qSCet73viO,Middle finger T shirt tshirt,sarcasm funnygift Ladies_tshirt WitticismsRus,,119,NS
"Totally on-par with ""Bomb the sh** out of 'em"" #Sarcasm https://t.co/AQIleTwd9j",Totally on par with Bomb the sh out of em,Sarcasm,,79,NS
@AmeriGunner Pretty sure I had this bad boy at the time...#cuttingedge #topoftheline #sarcasm https://t.co/KSeyPN18oW,Pretty sure I had this bad boy at the time,topoftheline sarcasm,AmeriGunner,117,NS
@rimzie84 @LBC Not illegal at all. #sarcasm,Not illegal at all,sarcasm,LBC rimzie84,43,NS
Don't you know his star is more important than people's lives? #Sarcasm https://t.co/hf8kqAjUfX,Don t you know his star is more important than people s lives,Sarcasm,,95,S
Oh I think she saw it Just didn't warn any1 because she was 4 it or at least #Huma was #sarcasm #tcot https://t.co/V0amnyQc7p,Oh I think she saw it Just didn t warn any1 because she was 4 it or at least was,sarcasm Huma tcot,,125,NS
No sleep plus working 6hrs equals great day #sarcasm,No sleep plus working 6hrs equals great day,sarcasm,,52,S
"@eric2523 No, I prefer the blinders on. This way I don't have to take responsibility for any decisions. #Sarcasm",No I prefer the blinders on This way I don t have to take responsibility for any decisions,Sarcasm,eric2523,112,S
I hope everyone knows my 'Harley Quinn costume' tweet was a joke. Every unoriginal muppet will be wearing it along with 'Sexy Bee' #Sarcasm,I hope everyone knows my Harley Quinn costume tweet was a joke Every unoriginal muppet will be wearing it along with Sexy Bee,Sarcasm,,139,NS
"@mharrisCSN @lyricalturtle taking a chance that they would offend some of the white people in attendance!! C'mon, Marshall Ã°Å¸ËœÅ“ #sarcasm",taking a chance that they would offend some of the white people in attendance C mon Marshall Ã°Å¸ËœÅ“,sarcasm,lyricalturtle mharrisCSN,140,NS
"@RepublicanPunk Love how Trump made so many efforts to unify the party behind him, softened his tone, and looked presidential. #Sarcasm",Love how Trump made so many efforts to unify the party behind him softened his tone and looked presidential,Sarcasm,RepublicanPunk,135,S
"You know, people really undervalue Nascar. It's really the best practice for making 500 left turns. #sarcasm",You know people really undervalue Nascar It s really the best practice for making 500 left turns,sarcasm,,108,NS
@benheys that was one of my favourite parts... #sarcasm,that was one of my favourite parts,sarcasm,benheys,55,NS
#Sarcasm is when the Gulab Jamun you made smiles at you.,is when the Gulab Jamun you made smiles at you,Sarcasm,,56,NS
"Pirates are seeking a veteran starting pitcher? Gee, who would have ever guessed? #sarcasm",Pirates are seeking a veteran starting pitcher Gee who would have ever guessed,sarcasm,,90,NS
"Now a days #twitter is like 
  #Diwali this nd #diwali that.! 
  
  All #sweet no #spice..! 
  M missing the #sizzle and #spice of #sarcasm",Now a days is like this nd that All no M missing the and of,spice..! sweet diwali sizzle Diwali sarcasm twitter spice,,139,NS
What @Crayola color would make a terrible candle? Burnt Sienna. #humor #sarcasm #laughstogether,What color would make a terrible candle Burnt Sienna,sarcasm laughstogether humor,Crayola,95,NS
We shoulda used the @GOP alternative! What was Ã°Å¸â€¡ÂºÃ°Å¸â€¡Â¸ thinking!? Ã°Å¸Â¤â€Ã°Å¸Â¤â€Ã°Å¸Â¤â€ #sarcasm,We shoulda used the alternative What was Ã°Å¸â€¡ÂºÃ°Å¸â€¡Â¸ thinking Ã°Å¸Â¤â€Ã°Å¸Â¤â€Ã°Å¸Â¤â€,sarcasm,GOP,113,NS
@abusedtaxpayer Sorry I was tweeting in my sleep and forgot to add #Sarcasm so all is well. We're on the same page Ã°Å¸Å’ÂºÃ°Å¸â€™â€”Ã°Å¸Å’ÂºÃ°Å¸â„¢â€¹Ã°Å¸ÂÂ» @LuddeLeBref,Sorry I was tweeting in my sleep and forgot to add so all is well We re on the same page Ã°Å¸Å’ÂºÃ°Å¸â€™â€”Ã°Å¸Å’ÂºÃ°Å¸â„¢â€¹Ã°Å¸ÂÂ»,Sarcasm,LuddeLeBref abusedtaxpayer,172,NS
@Noble_Jim Another example of media bias. #sarcasm,Jim Another example of media bias,sarcasm,Noble_Jim,50,NS
"@crisp_aw @bstanley3 @sluggoD54 @MarshallFarts5 
  
  Ya you haven't voted republican all your life
  #sarcasm",aw Ya you haven t voted republican all your life,sarcasm,crisp_aw MarshallFarts5 sluggoD54 bstanley3,110,NS
Crazy cat lady pendant necklace https://t.co/U0GN8moCZy #funnygift #sarcasm #Cat_gift https://t.co/k3QueIMi9P,Crazy cat lady pendant necklace gift,sarcasm Cat_gift funnygift,,109,NS
Now that was funny #sarcasm #MexicoGP https://t.co/gd64MVzfln,Now that was funny,sarcasm MexicoGP,,61,NS
Everyone must be getting mad at Tom Brady still playing with these under deflated footballs out there. #sarcasm https://t.co/skBmUSbETL,Everyone must be getting mad at Tom Brady still playing with these under deflated footballs out there,sarcasm,,135,S
"yay school tomorrow #sarcasm 
  happy halloween to you all tomorrow!",yay school tomorrow happy halloween to you all tomorrow,sarcasm,,68,S
"@JeffBeesler great! Get whit out, the one person willing to work with Justin! Wow so brilliant!!! #sarcasm #yourescrewingjustin #bbott",great Get whit out the one person willing to work with Justin Wow so brilliant,sarcasm yourescrewingjustin bbott,JeffBeesler,134,S
"? Does it ?
  #Sarcasm https://t.co/wRcTjt18gn",Does it,Sarcasm,,46,NS
"Religious people be like... Ã°Å¸Ëœâ€š
  
  #lol #funny #lmao #sarcastic #sarcasm #hilarious #comedy #lifeÃ¢â‚¬Â¦ https://t.co/0jhRi1GZ6J",Religious people be like Ã°Å¸Ëœâ€š,funny lmao sarcasm sarcastic lifeÃ¢â‚¬Â¦ lol hilarious comedy,,136,NS
@ESPNStatsInfo really helps my fantasy team. #sarcasm,really helps my fantasy team,sarcasm,ESPNStatsInfo,53,NS
There is nothing worse than a Ã°Å¸Å¡Â½ with no network Ã°Å¸ËœÂ¡#Sarcasm @sarcastic_us,There is nothing worse than a Ã°Å¸Å¡Â½ with no network Ã°Å¸ËœÂ¡#Sarcasm us,,sarcastic_us,85,NS
"I know Halloween is tomorrow, but what's up with all these Ã°Å¸â€˜Â» emoji's in the last few seconds? #Flyers #Sarcasm",I know Halloween is tomorrow but what s up with all these Ã°Å¸â€˜Â» emoji s in the last few seconds,Sarcasm Flyers,,118,S
Running on 1 hour of sleep is the best #sarcasm,Running on 1 hour of sleep is the best,sarcasm,,47,S
Seriously? SMH I'm going to ignore child so I can fight. I have great reasoning skills and impulse control. PleaseÃ¢â‚¬Â¦ https://t.co/QstuJdtqcl,Seriously SMH I m going to ignore child so I can fight I have great reasoning skills and impulse control PleaseÃ¢â‚¬Â¦,,,145,S
Totally didn't see that comeback coming from SK #ESLProLeague #sarcasm,Totally didn t see that comeback coming from SK,sarcasm ESLProLeague,,70,S
But #12 is all washed up. #ridiculous #sarcasm #RidiculousSarcasm,But is all washed up,sarcasm ridiculous 12 RidiculousSarcasm,,65,NS
"#bestwesternwindsor, front desk lady also passed a remark about breakfast being free #sarcasm. Be professional lady.",front desk lady also passed a remark about breakfast being free Be professional lady,"bestwesternwindsor, sarcasm.",,116,S
