Tweet,Sarcasm(yes/no/no) Ravi,Sarcasm(Yes/No/no) Niranjana,Sarcasm(Yes/No/no) Priya
"@crisp_aw @bstanley3 @sluggoD54 @MarshallFarts5 
  
  Ya you haven't voted republican all your life
  #sarcasm",no,no,no
Crazy cat lady pendant necklace https://t.co/U0GN8moCZy #funnygift #sarcasm #Cat_gift https://t.co/k3QueIMi9P,no,no,no
Now that was funny #sarcasm #MexicoGP https://t.co/gd64MVzfln,no,no,no
Everyone must be getting mad at Tom Brady still playing with these under deflated footballs out there. #sarcasm https://t.co/skBmUSbETL,no,yes,yes
"yay school tomorrow #sarcasm 
  happy halloween to you all tomorrow!",yes,yes,yes
"@JeffBeesler great! Get whit out, the one person willing to work with Justin! Wow so brilliant!!! #sarcasm #yourescrewingjustin #bbott",yes,yes,yes
"? Does it ?
  #Sarcasm https://t.co/wRcTjt18gn",no,no,no
"Religious people be like... ðŸ˜‚
  
  #lol #funny #lmao #sarcastic #sarcasm #hilarious #comedy #lifeâ€¦ https://t.co/0jhRi1GZ6J",no,no,no
@ESPNStatsInfo really helps my fantasy team. #sarcasm,no,no,no
There is nothing worse than a ðŸš½ with no network ðŸ˜¡#Sarcasm @sarcastic_us,no,no,yes
"I know Halloween is tomorrow, but what's up with all these ðŸ‘» emoji's in the last few seconds? #Flyers #Sarcasm",yes,yes,yes
Running on 1 hour of sleep is the best #sarcasm,yes,yes,yes
Seriously? SMH I'm going to ignore child so I can fight. I have great reasoning skills and impulse control. Pleaseâ€¦ https://t.co/QstuJdtqcl,yes,yes,yes
Totally didn't see that comeback coming from SK #ESLProLeague #sarcasm,yes,yes,yes
But #12 is all washed up. #ridiculous #sarcasm #RidiculousSarcasm,no,no,no
"#bestwesternwindsor, front desk lady also passed a remark about breakfast being free #sarcasm. Be professional lady.",yes,yes,yes
Vicki and Kelly: The Best Pairing Since Vodka and Valium. #Sarcasm #RHOC #RealHWsOfCancer #Drunk #Slobsâ€¦ https://t.co/SS3Z2JHvuH,no,no,no
@gazzaboyo clearly she's driving a top spec supercar at that rate?! #HolyCrapBatman #Sarcasm,no,no,no
9 Non-Threatening #Leadership Strategies for #Women https://t.co/W9F7LLq1W5 #humor #sarcasm #workingwomen https://t.co/zw4t8Qt3xo,no,no,no
@Andy_Masur1 but......length of games is only a problem if it's a baseball game #sarcasm,no,no,no
So there's gonna be a #Clownpurge tonight. Oh boy that should be scary #sarcasm,no,no,no
"It's Monday tommorrow, yay!...
  #sarcasm #ihatemondays #rollontheweekend",yes,yes,yes
Is Cam Newton actually interacting with the media sans pouty lip today? What a mature individual #sarcasm,yes,yes,yes
"Why? Because of Rush Limbaugh, Fox News, Brietbart, Alex Jones and the like â€” all paragons of honesty, virtue andâ€¦ https://t.co/MhneyiyYNz",no,yes,yes
@Uber_Support @UberEATS more than 30 minutes and I love how I have been responded with my complaint #sarcasm,yes,yes,yes
Whoopeee! You guys are doing such a great job. #sarcasm https://t.co/NW2sgarHoi,yes,yes,yes
@MBishopPhotos @StewCrew14 how about they just remove anyone who isn't in the chase so the chasers can duke it out!? #Sarcasm #NASCAR,no,yes,yes
@ChrisRywalt @SwiftOnSecurity that's just want they want you to believe #Sarcasm,yes,yes,yes
Mama Bear T-shirt https://t.co/p0yVjHe94g #sarcasm #WitticismsRus #funnygift #Funny_tshirts https://t.co/7lHtsIPQrA,no,no,no
Atlanta declined that penalty? They can do that? #sarcasm,no,no,no
@HillaryClinton Sure. That's why he has so many supporters. #sarcasm,no,yes,yes
@NFLRT @hopp3lch3n Nice way to represent the shield #sarcasm,no,no,no
"Can't be true, no White Helmets!
  .
  .
  #Sarcasm. https://t.co/xLSWNdl5rw",no,no,no
@waazuuuuup Wait. . . I'm not supposed to just chant along at home? #Sarcasm,no,yes,yes
"OMFG IT'S VETTEL NOT VERSTAPPEN I CALL HAX, THAT'S RIGGED. HOW COULD HE GET THE #VerstappenOfTheDay AWARD?! #F1 #Banter #Sarcasm #MexicoGP",no,yes,yes
Going strong with my 9 followers #sarcasm #wentworth,no,yes,yes
Thanks for the injury notification yahoo sports #sarcasm,no,yes,yes
@Noble_Jim @ndegroot89 but he can't win at phx. That's harvicks track. #sarcasm,no,no,no
What's wrong with Jordy? #sarcasm,no,no,no
I love being irrelevant to everyone including the people who are suppose to care. #sarcasm,yes,yes,yes
Such the mature driver #Vettel ! #sarcasm @C4F1 #MexicoGP,no,yes,yes
There's really nothing more exciting than watching Rosberg just cruise to a P2 finish. #sarcasm #MexicoGP,no,yes,yes
"Can it be?!? Can it really and truly happen, football fairy godmother? Two ties in the same day?!? Make it happen! #sarcasm #NFL #OAKvsTB",no,no,yes
@Burnsy987 Well at least my wife and I are becoming huge fans of the Numerous Flags League! Super exciting! #Sarcasm https://t.co/deU5Kh2lip,no,no,no
WOOP WOOP. Setting records. It's what we do. #Sarcasm #Pathetic https://t.co/NRMEA8nXNa,yes,yes,yes
"@JonnieMarbLes @theshakal2179 @TalkNerdyToMe72 @dustin_temple10 OMG WaPo says, must be true. Let me switch my vote to ur kween #sarcasm",no,yes,yes
"The wife is such a good cook, she can burn soup. #sarcasm",yes,yes,yes
@mk028kline @NathanNathannsp @Colts Wait a minute Brock Osweiler will lead them to the Super Bowl ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ #Sarcasm,no,no,no
@fia should implement new tyre rules to make #F1 more interesting. One set should last 3 races. #Sarcasm. #MexicoGP,no,no,no
Nice of @louisa to perform on @TheXFactor dressed like a slut. Such a good role model for the young impressionable girls ðŸ‘ðŸ» #Sarcasm,no,yes,yes
"#XFactor results, it's a breath holding old time isn't it? HoneyG is through so the world of common sense is exactly as we left it. #Sarcasm",no,no,yes
Tall #comic #comics #illustration #art #doodle #satire #fun #tall #legs #giant #sarcasm #sarcastic #drawing #humourâ€¦ https://t.co/ALMFz9Ku96,no,no,no
@h_AMBER_ger when did 'pinned tweets' start... God I've missed tweetin #sarcasm,no,no,no
Flag on a punt return #RaiderNation #Shocking #sarcasm,no,no,no
Quality game Tampa v Oakland #sarcasm,no,no,no
Requesting NASA to plz fulfil it's hobby of clicking a pic of India on Diwali night like every year!#@NASA #sarcasmðŸ˜‚ðŸ˜‚,yes,yes,yes
@BreakfastNews Ban boat people for life? Make it retrospective and solve all our problems. #sarcasm #weareallboatpeople #howdidyougethere,yes,yes,yes
"A voyage through Anthony Weiner's spam filter. My goodness, how pertinent this is to the survival of the Republic.â€¦ https://t.co/LsxNQCZVTL",yes,yes,yes
Louisa was very out of breathe wasn't she? #Sarcasm lol #XFactor,yes,yes,yes
"Let's back up PATs further, and maybe tack on 10 yards to FGs, too. Makes games more exciting! #sarcasm",yes,yes,yes
@Mahamali05 @FariehaAziz you are doing great job by tweeting such deep views and thoughts.. #sarcasm,yes,yes,yes
@patcaputo98 @971theticketxyt he should be a treat at the podium this week too. Always shows humility when he makes mistakes ðŸ™„ #sarcasm,yes,yes,yes
its all cars fault for not going out on the right hash lol #raiders #sarcasm,yes,no,yes
OMG Rex is laughing! He doesn't care like the fans care! #sarcasm,yes,yes,yes
"Jesus even used #sarcasm. He asked the Pharisee, ""Have you not read (the bible)..?"" Of course they read it they just didn't apply it.",yes,yes,yes
@NotebookMsgs @HakimSyahirul errr. How do i fix my sink? Its leaking. I need ur advice. #sarcasm #currentlytweetingeveryoneonmytimeline,yes,no,yes
Words cannot describe just how proud I am of the #Jets today! ðŸˆ #sarcasm,yes,no,yes
Average size cock coffee mug https://t.co/EoXYjhQwho #sarcasm #funnygift #Housewares https://t.co/z6Pkdm7BbB,no,no,no
Apple just works https://t.co/4i1cn4kYO5 #sarcasm #baddesign #tech,no,no,no
@moMAEeee Hard to believe you want to go shopping. #Sarcasm #Dripping,yes,yes,yes
@MatthewBerryTMR I have both cam newton and the cardinals D. So this day has been fun! #sarcasm #fantasylife,yes,yes,yes
When you wake up sounding like Janis Joplin you know it's going to be a GREAT day #sarcasm #husky #deepvoice #sick,no,yes,yes
"@lusava_alfred haha so in this case he becomes the ""head of state"" #sarcasm #irony",no,yes,yes
"Wait...there was no ""illegal football playing"" flag on that sack? ðŸ™„#sarcasm #goHawks",yes,yes,yes
Dear voters for Ed Balls - @AnastaciaMusic is donating her #Strictly fee to Cancer research - really well done folks! ðŸ‘ðŸ¼ #Sarcasm #Idiots,no,no,no
"Brilliant decision, Caldwell. #sarcasm #OnePride",no,yes,yes
Senseless Sunday #Sarcasm: What scares the Rottie Mutt..a HideKu https://t.co/qDoqzjO6Tb via @FullHorseFarm,no,yes,yes
#sarcasm RT @CoachBillick: The #Raiders are playing really disciplined football.,yes,yes,yes
Lost Spencer Ware for the game and TY Hilton hasn't caught a pass. Really loving my chances this week... #sarcasm #FantasyFootballProblems,yes,yes,yes
"I wonder who's going to win this game?
  #Patriotic
  #sarcasm",yes,yes,yes
Love how stacey gets the big money and the other two are like nah i wont even take what i earnt #teamplayer #sarcasm ðŸ‘ŠðŸ»ðŸ¤” #TheChase,yes,yes,yes
@EntirelyAmelia Toasty in Denver as well. Actually it's cold but the Chinese are telling it's 80 b/c global warming is a hoax. #sarcasm,no,yes,yes
"Trump's black outreach is amazing! He'll have 100% AA support on election day if he keeps acting like this! #sarcasm
  https://t.co/QYtANXN2mT",yes,yes,yes
You can slice the #sarcasm in this tweet with a knife https://t.co/80OTnNgddB,yes,no,yes
When you find out your bully from hs is now a lesbian...never saw THAT coming. ðŸ˜‚ #sarcasm,no,yes,yes
Speeling and grammer aren't important. #sarcasm #GoBrowns https://t.co/gfyv1JYCip,yes,yes,yes
I'm sure it's just the injuries on the Bills.. otherwise they'd have this. #sarcasm,yes,no,yes
The Thunder DEFINITELY won't regret this in a year or two #sarcasm https://t.co/sCIQw21kP1,yes,no,yes
Only Solomon Wilcots could make total sense out the what is a catch rule. #sarcasm,yes,no,yes
"Love Alonso radio ""you do your job, I'll do mine"" #sarcasm #MexicoGP #F1",yes,no,yes
"Yea, that'll help them win. #sarcasm https://t.co/CQRD7CnP5K",no,yes,yes
They sure about that? He's only had two concussions today #sarcasm #thirdtimesthecharm https://t.co/eoU3fyYz68,yes,no,yes
Oh that's not OPI. Not at all. #sarcasm #refshateus,no,no,no
"@tlsportscle Adjustments? When you're leading, those don't need to be made. #sarcasm",yes,yes,yes
Senseless Sunday #Sarcasm: What scares the Rottie Mutt..aÂ HideKu https://t.co/wDpcspAN2M,no,no,no
"Thanks for adding ""#sarcasm"" as I was starting to get riled up then saw it. Putting it 1st would be helpful in theâ€¦ https://t.co/E3AxWjghnu",no,no,yes
"@SorenPetro love your opinions, takes and knowledge. Keep up the good work. No matter how wrong you are. #sarcasm",no,yes,yes
@BradWellsNFL @richarddeitsch Tyrod Taylor scored a TD and ran straight back to the sideline. That should be a penalty. #sarcasm,no,no,no
Kevin Harvick is violating 100% rule by putting his back against wall as far as Chase goes so he can go for clutch win at Phoenix. #sarcasm,no,no,no
Lap one went exceptionally well....#MexicoGP #Sarcasm,yes,yes,yes
@jdborneman @CrizzleColts @HMATTHIAS @JimIrsay I watch to see the 1st down celebrations...those are the best. #sarcasm #concussionsrock,no,no,no
"The Bills are pretty loaded at WR, so even if Tate's out after that crushing blow they should be fine. #bills #sarcasm",no,no,no
Shear genius pendant necklace https://t.co/X7FNILPSBg #sarcasm #funnygift #Cutting_shears https://t.co/5GUT97GoY7,no,no,no
Favorite way to go into work?? Still drunk from the night before ðŸ˜’ðŸ˜·ðŸ» #sarcasm #feellikeshit,yes,no,yes
Don't you just love it when other websites give credit for where they actually found their news. #Sarcasm https://t.co/7EwSo3v0Qe,yes,yes,yes
YES! WE WENT FROM ABC TO ACC REGIONAL NETWORKS IN A MONTH FLAT! #sarcasm #TheU https://t.co/tXJDIqk5ES,yes,yes,yes
I love watching a Rex Ryan coached defense #Bills #AverageAtBest #Sarcasm,no,yes,yes
New blog post about sarcasm and humor in my life. #Sarcasm #Humor #Laughter #SenseOfHumor #Seriousness #Blogâ€¦ https://t.co/s63brEy1vs,no,no,no
Raining in Los Angeles..Thank goodness the Rams have a bye..thank u NFL.#sarcasm,no,yes,yes
"@JumboHart @maxkellerman But he was brilliant in ""Rocky Balboa"", playing himself. #sarcasm",no,yes,yes
"This can't be, they're mixing this up with Catholicism which we all know is evil. Don't forget, the Crusades happenâ€¦ https://t.co/w4JTjgi8Eq",no,yes,yes
"It's said that #sarcasm is the lowest form of #wit. To that I say ""No, really? Hey, somebody give this person a #Nobel #peace #prize!""",yes,no,yes
"Neighborhood: 20 houses 
  20 houses: Maybe 8 with kids
  Hope three large bags of candy is enough. #sarcasm #Halloweenâ€¦ https://t.co/gG2JWB2IFs",yes,yes,yes
You forgot to tag it with #sarcasm :) https://t.co/Ak0hILhysk,no,no,no
Vetting obviously not one of @realDonaldTrump's strong points #sarcasm #snark #bridgegate @GovChristie https://t.co/3CHq9CpRwz,no,no,no
@zkeefer still very encouraged. #sarcasm,no,no,no
"@DavidMTodd 
  That's why they scored some TDs 
  #Sarcasm https://t.co/OIjc5SxuLg",no,no,no
@Grady thank you Andrew #sarcasm,no,no,no
"@adamcrowleySNR 
  LOL 
  No kidding
  #Sarcasm https://t.co/swdXqd5Osx",no,no,no
@TomBevanRCP @RealDeanCain Never would have guessed.. (Insert #sarcasm),no,no,no
"@dannyoneil also, #sarcasm font is on that first tweet",no,no,no
"Best design play call by Seattle. 1 second remaining. They fake a field goal, then throw it away.... ðŸ˜‚ðŸ˜‚ #sarcasm",no,no,no
@ddenato04 8 failed seasons. Glad he's gone #sarcasm,no,no,no
@CNN Don't report on @realDonaldTrump being uncivil.Invent a story re policies he has but never talks about to avoid media bias #sarcasm,yes,no,yes
"Bursting crackers and scaring pets on Diwali is for kids, real men do bomb blasts at public places and kill human beings.
  #Sarcasm",yes,yes,no
"But...but...she's Hillary! There MUST BE wrongdoing, based on that and that alone!!!!! ðŸ˜¨ #sarcasm https://t.co/8rGWmuDB9u",no,yes,yes
@SorenPetro Do those catches get made if Foles makes the throws. #sarcasm,no,yes,yes
Nice tackling. #Lions #Sarcasm,no,no,no
24-0. Plenty of time left right? #sarcasm,yes,yes,no
Just changing the a headlight on @BizDrake's car. Thanks @chevrolet for making this super easy à² _à² #sarcasm https://t.co/z4KqBgp1aw,no,no,no
"I have seen people, once who were Showstoppers; now they are Married!!
  #Sarcasm #Mean :ðŸ˜Ž",no,yes,yes
@_connormuldoon A Rex Ryan team? Undisciplined? I don't believe it for a second #sarcasm,no,yes,yes
My favorite thing is when the Panthers have a nice lead and then play super conservative the rest of the game and end up losing. ðŸ™ƒ #sarcasm,no,yes,yes
#Sarcasm *Gee I'm sure that group of teenagers all ordered waters because they wanna have enough money for a tip. #WaitStaffInnerThoughts,no,yes,yes
Thanks @nascar always appreciate paying for a product that only works well half the time. #sarcasm,yes,yes,no
Ewe mad bro coffee mug https://t.co/GEbPpHLdnu #sarcasm #funnygift #WitticismsRus #Gift_for_her https://t.co/zkpScR1FqY,no,yes,no
"My #Windows10 crashed after I deleted hiberfil.sys (""powercfg -h off"" cmd). A clean install solved the problem. A day well spent. #sarcasm",yes,yes,no
#Sarcasm isn't an attitude. It's an art. :) https://t.co/qqdwQmMRGJ,no,no,no
@Fred_Delicious @SethMacFarlane as if Hillary Clinton were'nt married to a sexual predator and well fuck the FBI's investigation #sarcasm,no,no,no
"Yes, life sucks sometimes... #mauiðŸŒ´ #westinmauiðŸ’ #honeynoon #sarcasmâ€¦ https://t.co/vNNMiuOZWy",no,no,no
"Good comeback meme-brain. #sarcasm @Vet4trump16 @larryelder 
  
  #NeverTrump #WhinyLittleBitch 
  #ClintonKaine 
  #ImWithHer",no,no,no
I love legit players (#sarcasm ) https://t.co/FsmA4bZMWo,no,yes,yes
Colombians for Rubio? Never heard of such a thing #sarcasm https://t.co/Lo7N9tIqQm,no,no,no
"PML-N can get Guinness World Record for biggest sarcasm for having lion as their electoral sign.
  
  #PTIProtest 
  #sarcasm",no,no,no
RT @Jrockcalgary: Those green solar panels sure do a great jobs of providing oxygen like the trees and grassland they replaced #sarcasm httâ€¦,yes,no,yes
"@Daniel_Eliesen in other news, water is wet. #sarcasm",yes,yes,yes
Who is this Bilal Powell guy? #sarcasm #Jets,no,no,no
"Yup! Huge competitive advantage, that #DeflateGate is.....Right up there with PID's...#sarcasm Thank you #NFLâ€¦ https://t.co/QfVnIVPO3R",no,yes,yes
@sumanthraman @karthickselvaa to get more sales tn govt can have tasmac online and release app too #sarcasm https://t.co/4R0OHj4d7n,yes,no,yes
Another tie! Well done #NFL #sarcasm #WASvsCIN,no,yes,yes
@Schopptalk BTW good thing they kicked the FG instead of going for it #sarcasm,no,yes,yes
@TurtleBoySports BUT WHAT IF THEY THROW IT TO HIM???? #sarcasm,no,yes,yes
"@sethmnookin @LibyaLiberty well, there is the ol' dunking in the river trick, we could go back old school #salemwitch style! #sarcasm ðŸ˜©",no,yes,yes
@XFINITY is the best product out there. nothing better when your teams game goes to over time. @comcastcaresâ€¦ https://t.co/P75E523UCV,no,yes,yes
"@linnyitssn @ViewFromWise How does acknowledging their lie help the Alt-Right's campaign of sexism, racism, Trump, and xenophobia? #sarcasm",no,yes,yes
"RT @sarcsticbastrds: me: *studying for 15 minutes*
  me: i can't do this anymore.
  #sarcasm #sarcastic",yes,yes,yes
Yay! Another football tie! #NFL is SUPER fun this year! #sarcasm,no,yes,yes
That 7am bedtime really got me going today lol #sarcasm #dying #dead,no,yes,yes
"#GoHillary Just started ""organically"" from the east coast HRC campaign troll center to the west coast HRC troll center #Sarcasm",yes,yes,yes
@NFL thanks for protecting QBs. Tyrod Taylor tackled 5 yards out of bounds. #sarcasm,yes,yes,yes
"RT @LionsOmega: @Goldthinkers Oh, gee, what a revelation it must have been! #sarcasm",no,yes,yes
Glad I wasted my time with that game...#sarcasm,yes,yes,yes
"I miss #That70sShow
  
  Eric had the best #sarcasm
  
  #the90s #sitcom #90s https://t.co/eGVyI8v215",no,no,no
"@Goldthinkers Oh, gee, what a revelation it must have been! #sarcasm",no,no,no
Haven't seen a lass dressed as Harley Quinn yet... #sarcasm #TheyreBloodyEverywhere #HarleyQuinn,no,no,no
@GrahamVyse @MartinDiCaro good thing they expanded out to Wiele blvd #sarcasm,no,no,no
careful. the fix is in! #rigged. #sarcasm https://t.co/LapuACDWTj,no,no,no
@LanceMcAlister Clutch Andy Dalton comes through again! #sarcasm #holdontotheball!,no,no,no
#Jets offense looking strong so far today. #sarcasm #NYJ #NYJets,no,no,no
"@mitchellvii @VictorRegated 
  
  I'm sure Weiner is just complying with Hillary's request to get all the information out asap. #Sarcasm",no,yes,yes
Near the 20. 10 more and we should be in Ghosts range #sarcasm,no,no,no
"When three musketeers came together ðŸ˜˜ ðŸ˜Ž
  #Fun #Masti #chai #sarcasm #insults #Bawal ðŸ˜œ
  Btwâ€¦ https://t.co/NZ0bDwyu04",no,yes,yes
Your boy! He's a heck of a player #sarcasm https://t.co/yjE6bV9OjR,yes,yes,yes
@bobfescoe at least the @NFL holds its players to a higher standard ðŸ¤” #sarcasm https://t.co/I9Qln0igmJ,no,yes,yes
But he's such an admired director! He couldn't have done it!! #Sarcasm #SoOverMisogyny #NotOk https://t.co/T1K2wJ3mvL,no,no,no
"@ExDeb @jamesbelstane @Titanic_Britain @jackywilliams28 
  Who would know better about sex ed for children? Pedophiles are experts! 
  
  #sarcasm",yes,no,yes
@WGR550 ice touch on that pass to bush for a TD tyrod. #sarcasm,no,no,no
@NFLonFOX Thanks for yanking the Bengals/Redskins game to bring me Lions/Texans. I had no desire to see who won. #sarcasm #feelingdissed,no,no,yes
The @Patriots got away with a blatant roughing the passer call? I'm shocked. #Sarcasm,no,yes,yes
Fearless fart T-shirt https://t.co/X5h6WneWuw #funnygift #WitticismsRus #sarcasm #Clothing https://t.co/i9XQTAR2Go,no,no,no
"As if Bengals Redskins in London wasn't exciting enough, they're in OT?
  #sarcasm #whby #philcast",no,yes,no
"RT @AdilNajam: Happy 162nd birthdayðŸŽ‰ #OscarWilde.
  A sage. He understood what most don't. #Sarcasm can be witty, even intelligent. #Bitterneâ€¦",no,no,no
"More food for thought... If the reality videos don't get you to #act, maybe some #sarcasm will. https://t.co/j9VQyWdihP",no,no,no
"@BernieSanders @BernieSanders Yeah let's make them give more money to Washington, cause you all obviously know how to manage money #sarcasm",no,yes,yes
"@ananavarro @SLReaves It's a good thing. At least now we know that immigrants can give political speeches, too. #sarcasm",yes,yes,yes
@LanceMcAlister Great clutch play by Dalton. Missed a lot of throws. Also great discipline from this team. #sarcasm #Marvin&amp;DaltonEra,no,yes,yes
Senseless Sunday #Sarcasm: What scares the Rottie Mutt..aÂ HideKu https://t.co/wZCKrvIQ6N https://t.co/iYNcgGgzf6,no,yes,no
Ideal situation here for the Bengals. Defense has been strong all day so they should be able to hold Washington. #sarcasm,no,no,no
"Shocking!!! ML engaged in another ""I don't understand why this joke is sexist"" episode. #sarcasm intended here",no,no,no
RT @Jrockcalgary: Those green solar panels sure do a great jobs of providing oxygen like the trees and grassland they replaced #sarcasm httâ€¦,no,no,no
Bout to work in the rain. Excitement is at an all time high. ðŸ˜žðŸ˜‘#Sarcasm,no,no,yes
"Just what we need â€” more political correctness, less freedom of speech. #sarcasm https://t.co/vqf5c6gy4G",yes,no,yes
"RT @RachelMarieJohn: Oh no it's fine, didn't want to go anyway... #sarcasm",no,no,no
@timmydugganUSA I'm sure car v. deer deaths were considered too #sarcasm,no,no,no
"#trigger @NativeSenses Now, now... if she didn't flaunt it... it's like all those women who claim rape; you know they asked for it. #sarcasm",no,no,no
"RT @PoliticalKel: The polls are all rigged. Everybody knows that because Trump said so, and the Donald never lies. #sarcasm @Zigmanfreud @Nâ€¦",yes,yes,yes
"@michaelFhurley @vine more importantly, the Bengals player didn't mean to do it, look at the heart first. #Sarcasm",no,yes,yes
@UWBadgersJobs Shocking that in such a racially diverse state like Wisconsin we'd expect u to understand racial insensitivity ðŸ˜’ðŸ¤”#sarcasm,yes,yes,yes
"ðŸ“¢ @_AthleteSupport
  ðŸ“¢ WELCOMES
  @ThiartNico #Cycling
  @JerseyKidPicks #Betting
  -
  @D3SAST3RST3V3
  @Abhijee26244995 #Sarcasm 
  @Muhamma09355658",no,no,no
I can only hope this puts and end to ALL the #Clintons More like a #Mafia org than #Political family #sarcasm #tcot https://t.co/aI0y6NIUTf,no,no,no
@Skruttlundh @BlackPanthaaYT Is that his mouth...? #sarcasm,no,no,yes
"RT @PoliticalKel: The polls are all rigged. Everybody knows that because Trump said so, and the Donald never lies. #sarcasm @Zigmanfreud @Nâ€¦",yes,yes,yes
Was this based upon registered voters? BTW How many #Dems were dead or alligators #sarcasm @GOP #tcot @GregGutfeld https://t.co/AFDVJgxNjt,no,yes,yes
"RT @PoliticalKel: The polls are all rigged. Everybody knows that because Trump said so, and the Donald never lies. #sarcasm @Zigmanfreud @Nâ€¦",yes,yes,yes
@vsselkowe Don't most sport events promote these values? #sarcasm,no,no,no
This kind of sh*t happens when U worship $$ above everything #sarcasm #tcot https://t.co/aoYJD02Cxq,no,no,no
"Now if you're #radical or #mindless #Trump #bot, you probably thought my last post was true. Well it was #Trump #sarcasm. How u like that?",no,no,no
"The polls are all rigged. Everybody knows that because Trump said so, and the Donald never lies. #sarcasm @Zigmanfreud @NateSilver538",yes,yes,yes
@PoliticalKathy @JackPosobiec But aren't the Trump supporters the hateful ones? #sarcasm #MAGA3X #Trump2016,no,yes,yes
@BScotchShenani Awesome! I have a great game idea. Can you help me make it? I'll pay you with the profits. #Sarcasm #ProgrammerProblems,no,yes,yes
Shocking. #Sarcasm https://t.co/bLM3O9i6NF,no,no,no
"@AuthorNinaPerez well since Black women were the downfall of Nate Parker, why not lay blame for toxic masculinity at our feet? #sarcasm",no,no,no
"@KellyannePolls so now were are allowing immigrants to give campaign speeches, what next. #sarcasm",no,no,no
Where @akashbanerjee gets really serious with #sarcasm .. #WhySoSerious https://t.co/SD4kxUPPYc,no,no,no
RT @Jrockcalgary: Those green solar panels sure do a great jobs of providing oxygen like the trees and grassland they replaced #sarcasm httâ€¦,no,no,no
@KenAlofoque ugh yet another Belichick Bust!.... #SARCASM,no,no,no
"@mj_lee well considering how John Podesta got scotched for emailing reporters, a breakfast meeting would be REALLY bad!! #sarcasm",no,no,yes
@JazzCat44 Be careful. Jihadist sympathizers are little intelligent and probably do not understand your #sarcasm. :-),no,no,no
@PMbeers @AntiMedia right because peaceful protests have been so successful #Sarcasm,no,no,no
@RichieLeigh @knflkkollective good luck getting out of your contract with that attitude #sarcasm,no,no,no
"ðŸ˜‚ Pretty much sums up #Apple ðŸ’¯
  
  #lol #funny #lmao #sarcastic #sarcasm #hilarious #comedy #lifeâ€¦ https://t.co/z1R2J9uZC6",no,no,no
"The only drama i make out of jealousy is being so inspired it makes me puke ideas of how to be a better me.
  #Sarcasm #InspirationalQuotes",yes,yes,yes
@realDonaldTrump But everything is rigged I thought?? I don't know what to believe anymore? #Sarcasm #ImWitHer,yes,yes,yes
@justjohnnye just a hint of #sarcasm...Just a tad. Or I'm reading it wrong!,no,no,no
"@flamingcas Up For Interpretation and all that. -_-
  
  Not like they could represent us unless they intended to and knew they had.
  
  #sarcasm",no,no,no
This teacher is slaying it! History of hip hop #sarcasm #Alex @Dance_Attack_ON,no,no,no
Glad to see the @NFL officials are focused on soft hand checking penalties but letting the blatant head shots go. Focus on safety! #sarcasm,no,no,no
@AdamSchefter Jets fans everywhere throw a party. #Sarcasm,no,no,no
RT @andpru: @neuromusic @mbeisen @dutchscientist Wait is this the PLOS that *pays* its employees? For shame. #sarcasm,no,no,no
@KilloughCNN @TxSwaff The #realityhitsyouhardbro asshole is an anti Semite. Who would have guessed? #sarcasm,no,no,no
"Esok ada test tp ada 2 chapter lg tak baca
  Well done ðŸ¤—
  Hopefully u can finish 2 chap in 1 hour ðŸ‘ 
  
  #sarcasm to myself",no,no,no
@indiancountry @democracynow @Lakota_Timez #NoDAPL #Raceissues in #American? Surely not!! #sarcasm ðŸ˜’#WaterIsLifeâ€¦ https://t.co/yLgjYaYcwT,no,no,no
RT @Jrockcalgary: Those green solar panels sure do a great jobs of providing oxygen like the trees and grassland they replaced #sarcasm httâ€¦,no,no,no
RT @Jrockcalgary: Those green solar panels sure do a great jobs of providing oxygen like the trees and grassland they replaced #sarcasm httâ€¦,no,no,no
"â€œDonâ€™t mess with me â€” I get paid to poke people with sharp objects.â€
  
  #nursesjoke #sarcasm #nurselife",yes,yes,yes
@leslieux27 if u didn't bring that to my attention I wouldn't have known the difference. Thanks for clearing that up for me #Sarcasm ðŸ˜‚ðŸ˜‚,no,no,yes
@tonystabile @seanyhockey @hockeynightny not much going on in islanders country!! #isles #sarcasm,no,no,yes
"Question: Why I don't get a girlfriend?
  Good answer: Because someone better is waiting for you.
  Best answer: Because you are ugly.
  #sarcasm",yes,yes,yes
"#sarcasm is the language only one intelligent person understands,i.e the Originator...except @pakalupapito @sarcastic_us !!",no,no,no
@DemonTwoSix @ViciTrue but #WW3 will be so cute &amp; fun if she starts it. #draftOurDaughters #Sarcasm,no,no,no
"I agree. Google, FB, Twitter were *very* dishonest giving you free publicity and a soapbox for your rants. Not so iâ€¦ https://t.co/a6D9kfPKcC",yes,yes,yes
RT @NeilAnthonyLive: Dear @BarriePolice thank you for taking a legit #noise #COMPLAINT seriously my 6 month old thanks you #sarcasm #nosleeâ€¦,yes,yes,no
Dear @BarriePolice thank you for taking a legit #noise #COMPLAINT seriously my 6 month old thanks you #sarcasm #nosleep #partyallnight,no,no,no
"@JimmyKempski He was a defensive coordinator for a team that won the Super Bowl 16 years ago, Jimmy! Duh! #Sarcasm",yes,yes,yes
